NAME,GENDER,NACIONALITY,ROLE,ACRONYM,OFICIAL_NAME,START_DATE,END_DATE,TOPICS,STATION,INSTITUTIONS_LEAD,INST_LEAD_COUNTRY,FUNDING_SOURCES,Finished,lon,lat
"Juan, Serrano",M,CR,Principal Investigator,Perpectiva Social Geográfica,"POLITICAS NACIONALES Y LOCALES PARA LA GESTION INTEGRAL DE RESIDUOS SOLIDOS EN LA CIUDAD DE BAGACES, GUANACASTE",02/02/2011,06/20/2012,,Palo Verde,Organization for Tropical Studies,CR,,Finished,-78.922621,36.001447
"Carlos, de la Rosa",M,US,Principal Investigator,Phytotelmata,Phytotelmata macroinvertebrate fauna,06/22/2012,,"Bromeliads, tree holes, aquatic invertebrates, phytotelmata, plant-held waters",La Selva,Organization for Tropical Studies,CR,,Approved,-78.922621,36.001447
"Ronald, Vargas Castro",M,CR,Collaborator,Phytotelmata,Phytotelmata macroinvertebrate fauna,06/22/2012,,"Bromeliads, tree holes, aquatic invertebrates, phytotelmata, plant-held waters",La Selva,Organization for Tropical Studies,CR,,Approved,-78.922621,36.001447
"Hanna, Eberlein",F,DE,Principal Investigator,Bees,Tropical deforestation and trophic networks: The impact of landscape configuration and composition,03/20/2013,08/31/2013,"trophic networks, bees, wasps, biodiversity, hymenoptera,trap nest, fragmentation, habitat configuration, habitat composition ",Las Cruces,Georg-August Universität Göttingen,DE,,Finished,9.93786,51.5407
"Urs, Kormann",M,DE,Co-PI,Bees,Tropical deforestation and trophic networks: The impact of landscape configuration and composition,03/20/2013,08/31/2013,"trophic networks, bees, wasps, biodiversity, hymenoptera,trap nest, fragmentation, habitat configuration, habitat composition ",Las Cruces,Georg-August Universität Göttingen,DE,,Finished,9.93786,51.5407
"Gretchen, Daily",F,US,Advisor,Frog jumping performance,Influence of temperature and moisture level on jumping performance of deforestation tolerant and intolerant frogs,03/15/2013,06/21/2013,"jumping performance, thermal tolerance, desiccation stress, deforestation, temperature",Las Cruces,Stanford University,US,,Finished,-122.169719,37.4274745
"Luke, Frishkoff",M,US,Principal Investigator,Frog jumping performance,Influence of temperature and moisture level on jumping performance of deforestation tolerant and intolerant frogs,03/15/2013,06/21/2013,"jumping performance, thermal tolerance, desiccation stress, deforestation, temperature",Las Cruces,Stanford University,US,,Finished,-122.169719,37.4274745
"Rafael, Ramírez",M,NI,Principal Investigator,Palo verde wetland.,Stationary changes in the macrophites composition of Palo Verde wetland.,07/13/2010,01/24/2013,"Palo Verde national park, Wetlands, Aquatic plants diversity, seasonal clima.",Palo Verde,Organization for Tropical Studies,CR,,Finished,-78.922621,36.001447
"Catalina, Esquivel",F,CR,Principal Investigator,Transpiración de plantas acuáticas,"Tasas de transpiración de cuatro plantas acuáticas del humedal Palo Verde, Parque Nacional Palo Verde, Costa Rica",11/23/2012,02/06/2018,,Palo Verde,Université Catholique de Louvain,CR,,Finished,4.6155909,50.6696875
"Cleo, Chou",F,US,Principal Investigator,Nutrient limitation ,Rethinking tropical forest nutrient limitation from the perspective of individual tree nutrient demand and functional types,07/29/2012,05/30/2016,"Biogeochemistry, tree functional types, nutrients, nitrogen, carbon cycle, nutrient limitation, forest dynamics",La Selva,Princeton University,US,,Finished,-74.6550739,40.3430942
"Alex, Gilman",F,IO,Principal Investigator,Reforestation Finca Los Nacientes,Restauración del ecosistema en el bosque tropical húmedo de Costa Rica: repoblación forestal para la educación y la conservación,01/01/2010,01/01/2030,Forest Restoration,La Selva,Organization for Tropical Studies,CR,Personal funds; OTS - OET; Graduate Women in Science,Approved,-78.922621,36.001447
